model_name,quantity_id,unique_citations,top1_share,top3_share,mean_citations_per_run,top_anchors
gpt-5.4,household.intertemporal_elasticity_of_substitution,19,0.3111111111111111,0.5555555555555556,3.0,"Hall (1988) on intertemporal substitution in consumption (14) | Campbell and Mankiw (1989) on consumption, income, and interest rates (6) | Bansal and Yaron (2004) long-run risks calibration (5) | Campbell and Mankiw (1989/1990) on consumption, income, and interest rates (3) | Bansal and Yaron (2004) long-run risks / Epstein-Zin preference calibration (2) | Bansal and Yaron (2004) long-run risks / Epstein-Zin preference calibrations (2)"
gpt-5.4-mini,labor_supply.income_elasticity.prime_age,42,0.044444444444444446,0.13333333333333333,3.0,"Heim (2007) on labor supply elasticities (2) | MaCurdy (1981) (2) | Blundell & MaCurdy (1999) (2) | Mroz (1987) female labor supply framework as a general anchor (1) | Heckman labor supply elasticity discussions (1) | Saez, Slemrod, Giertz (2012) taxable income/labor supply context (1)"
gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,41,0.044444444444444446,0.13333333333333333,3.0,Heim (2007) on labor supply elasticities (2) | Keane (2011) labor supply review (2) | Blundell & MaCurdy (1999) (2) | Chetty et al. (2011) (2) | Chetty et al. on elasticity/optimal taxation discussions (1) | Moffitt (1984) labor supply review (1)
gpt-5.4-mini,production.capital_labor_substitution,37,0.06666666666666667,0.2,3.0,"Arrow, Chenery, Minhas, and Solow (1961) (3) | Karabarbounis and Neiman (2014) (3) | Arrow, Chenery, Minhas, and Solow (1961) CES production function (3) | Antràs (2004) (2) | Chirinko (2008) capital-labor substitution survey (2) | Kaldor-style macro production function discussions (1)"
gpt-5.4-mini,tax.elasticity_of_taxable_income.top_earners,32,0.15555555555555556,0.26666666666666666,3.0,"Gruber and Saez (2002) (7) | Saez (2004) (3) | Gruber and Saez (2002) taxable income responses (2) | Saez, Slemrod, and Giertz (2012) (2) | Saez, Slemrod, and Giertz (2012) review on the elasticity of taxable income (2) | Feldstein (1995) classic taxable-income response estimate (2)"
gpt-5.4-mini,trade.armington_elasticity.import_domestic,34,0.13333333333333333,0.26666666666666666,3.0,Armington (1969) (6) | Simonovska and Waugh (2014) (4) | Feenstra (1994) (2) | Imbs and Mejean (2017) (2) | Ruhl (2008) (2) | Obstfeld and Rogoff open-economy calibration discussions (1)
gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,42,0.023809523809523808,0.07142857142857142,2.8,Hall (1988) (1) | Campbell & Cochrane (1999) (1) | Weil (1989) (1) | Hall (1988) intertemporal Euler equation / consumption-savings identification intuition (1) | Mehra & Prescott / intertemporal substitution in asset-pricing context (recall anchor) (1) | Barro (1999) and related empirical consumption dynamics discussion (recall anchor) (1)
gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,39,0.02564102564102564,0.07692307692307693,2.6,"Moffitt (1990s–2010s) on labor supply and welfare program incentives (1) | Eissa and Liebman (2000s) on welfare reform and work incentives for single parents (1) | Chetty (2012) on behavioral responses to taxes/transfers in the labor market (1) | Eissa and Liebman (1996) on welfare reform and employment/earnings responses (1) | Moffitt (1992, 2002) on labor supply and welfare participation elasticities (1) | Chetty, Friedman, and Saez (2013) / Chetty et al. on behavioral responses to taxes/work incentives (including participation margins) (1)"
gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,39,0.02564102564102564,0.07692307692307693,2.6,"Mankiw-Reis or macro labor supply calibration conventions (low-to-moderate Frisch elasticity) (1) | Hansen (1985) / indivisible labor and Frisch-elasticity identification intuition (modest elasticities) (1) | Empirical labor supply elasticities from labor-leisure choice estimates and tax-reform/discrete choice evidence (often small elasticities for prime-age) (1) | Chetty et al. (2011) on labor supply elasticity and the wage elasticity of taxable income (1) | Hansen (1993) / Mortensen-Pissarides style macro labor-supply calibration intuition (1) | Blundell, MaCurdy (labor supply and Frisch elasticity) (1)"
gpt-5.4-nano,labor_supply.income_elasticity.prime_age,42,0.023809523809523808,0.07142857142857142,2.8,Mincer-style labor supply evidence on small income effects (1) | Structural labor-supply models with heterogeneous preferences implying modest intensive-margin income elasticities (1) | Empirical findings that hours are more wage-elastic than income-elastic (1) | Standard labor-supply income-effect predictions in micro labor economics (Frisch/hours margin) implying negative but often modest intensive income elasticities (1) | Empirical labor supply evidence consistent with small-to-moderate income effects on hours conditional on labor-force participation (1) | Compensated demand/substitution vs income effects intuition: hours typically fall with non-labor income when wage is held fixed (1)
gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,36,0.027777777777777776,0.08333333333333333,2.4,Standard labor supply framing: substitution vs income effects in wage elasticities (1) | Empirical labor supply results often finding modest (near-zero to small positive) intensive-margin wage elasticities for prime-age workers (1) | Marshallian vs Hicksian (compensated) wage elasticity relationship in labor-supply theory (1) | Standard labor-supply framework (Slutsky decomposition) linking compensated vs uncompensated elasticities (1) | Empirical labor-supply evidence for prime-age workers implying modest intensive-margin wage responses (1) | Heterogeneity in labor supply elasticities across studies (income effects often offset substitution effects) (1)
gpt-5.4-nano,production.capital_labor_substitution,42,0.023809523809523808,0.07142857142857142,2.8,Top-level CES production function and substitution elasticity interpretation (σ) in macro/production theory (1) | Empirical labor–capital substitution estimates commonly reported as around unit elasticity (σ near 1) in many macro contexts (1) | Robustness considerations: micro/sectoral heterogeneity and model identification often yielding substitution elasticities spanning roughly below 1 to above 1 (1) | Hicks–Allen substitution framework (MRTS and CES elasticity interpretation) (1) | Standard macro production function calibration and empirical discussions (often finding elasticity around the 0.5–1 range) (1) | Eslastically-substitutable vs. complementarity intuition from K/L evidence in production (1)
gpt-5.4-nano,tax.elasticity_of_taxable_income.top_earners,39,0.02564102564102564,0.07692307692307693,2.6,"Saez (2004) / ETI framework and interpretation (1) | Papers estimating medium-run ETI using tax reforms (e.g., top income tax rate changes) (1) | General bunching/avoidance vs real response evidence for high-income taxpayers (1) | Saez, Slemrod, and Giertz (taxable income elasticity evidence) (1) | Slemrod (ETI and the role of avoidance vs. real responses) (1) | General behavioral tax response literature (crediting elasticities in the ~0.3–1 range for top incomes) (1)"
gpt-5.4-nano,trade.armington_elasticity.import_domestic,42,0.023809523809523808,0.07142857142857142,2.8,"Armington CES import–domestic substitution used in open-economy calibrations (e.g., typical gravity/trade-model parameterizations) (1) | Pesenti/Ghironi-style open-economy DSGE trade blocks with Armington aggregation and moderate substitution elasticities (1) | “Low-to-moderate” Armington elasticity values commonly assumed in DSGE and partial-equilibrium trade calibrations for U.S. data (1) | Armington (1969) original formulation motivating substitution elasticities between origin varieties (1) | Typical DSGE/CGE practice using import-domestic CES/Armington blocks with elasticities often in the ~1–3 range for calibration (1) | Estimation/indirect evidence from trade gravity and structural models linking trade elasticities to limited-to-moderate substitution (1)"
